ACCE_ABSORB_COST	تكاليف الدمج: %d
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	قوي ضد النينجا +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	كسر الدفاع الجرسي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	كسر مقاومة السهم +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	كسر الدفاع المخلبي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	قوي ضد وحوش زودياك +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	كسر الدفاع الخنجري +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	قوي ضد وحوش الصحراء +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	قوي ضد الشيطان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	كسر الدفاع المروحي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	قوي ضد نصف بشر +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	قوي ضد الحشرات +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	قوي ضد الطائفة السرية +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	قوي ضد الوحوش +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	قوي ضد الغيلان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	قوي ضد شامان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	قوي ضد سورا +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	كسر الدفاع السيفي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	كسر دفاع سيف اليدين +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	قوي ضد الزومبي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	قوي ضد المحارب +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	قوي ضد اللّيكانر + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	هجوم مُنزف + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	مقاومة ضد الهجوم المُنزف + %d%%	SA
TOOLTIP_APPLY_BLOCK	فرصة صَد الهجوم عن قرب %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	استعادة نقاط الاسلوب في القتال كل 5 ثواني %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	فرص الإصابة بضربة حرجة +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% فرص استعادة نقاط الأسلوب عند الإصابة	SA
TOOLTIP_APPLY_DODGE	%d%% فرص تفادي الهجوم بالسهام	SA
TOOLTIP_APPLY_ENCHANT_DARK	قوة الظلام +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	قوة الظلام +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	قوة الأرض +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	قوة الأرض +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	قوة البرق +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	قوة البرق +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	قوة النار +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	قوة النار +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	قوة الجليد +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	قوة الجليد +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	قوة الرياح +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	قوة الرياح +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% فرص الحصول على نقاط خبرة إضافية	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% فرص إسقاط ضعف كمية اليانغ.	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	مُحصن ضد النزيف	SNA
TOOLTIP_APPLY_IMMUNE_FALL	مُحصن ضد الوقوع	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	مُحصن ضد السم	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	الدفاع ضد التباطؤ	SNA
TOOLTIP_APPLY_IMMUNE_STUN	دفاع ضد الإغماء	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% فرص إسقاط ضعف كمية الأشياء.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% فرص استعادة نقاط الحياة	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% فرص استعادة نقاط الأسلوب	SA
TOOLTIP_APPLY_MANA_BURN_PCT	فرص نهب نقاط الأسلوب %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	نقاط الحياة القصوى HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	أقصى MP نقاط الأسلوب +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	مقاومة ضد هجوم الوحوش %d	SA
TOOLTIP_APPLY_NOAFFECT	بدون تأثير
TOOLTIP_APPLY_NO_DEATH_PENALTY	بعد إعادة إحياء اللاعب في مكان الموت، لن يتم خصم أي نقاط للخبرة.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	يأخذك التنين الأسطوري تحت أجنحته الحامية. إذا تم إحيائك في مكان وفاتك، فلن تفقد نقاط الخبرة.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% فرص تحصيل ضربة خارقة	SA
TOOLTIP_APPLY_POISON_PCT	فرصة التسمم: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	مقاومة السموم %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	زيادة في تأثير الجرعة بنسبة %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% فرص عكس اللعنة	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% فرصُ عكس ضربات الهجمات عن قرب.	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	فرص الدفاع ضد هجوم النينجا %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	دفاع جرسي %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	دفاع مخلبي +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	دفاع خنجري %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	دفاع مروحي %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	مقاومة نصف البشر %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	مقاومة السقوط +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	فرص الدفاع ضد هجوم الشامان %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	فرص الدفاع ضد هجوم السورا %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	دفاع سيفي %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	دفاع سيف اليدين %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	فرص الدفاع ضد هجوم المحاربين %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	مقاومة الرياح %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	فرص الدفاع ضد هجوم اللّيكانر %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	فرصة الاستفادة من الكتب ترتفع بعامل 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	ستحصل إذا فشل التّعلم الحصول على فرصة إضافية لإعادة المحاولة.	SNA
TOOLTIP_APPLY_SLOW_PCT	فرص التبطيء: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	تستوعب نقاط الحياة %d%% من الضرر.	SA
TOOLTIP_APPLY_STEAL_SP	تستوعب نقاط الأسلوب %d%% من الضرر.	SA
TOOLTIP_APPLY_STUN_PCT	فرص الإغماء %d%%	SA
TOOLTIP_ARMOR	دروع
TOOLTIP_ARROW	سهم
TOOLTIP_ASSASSIN	نينجا
TOOLTIP_ATTBONUS_PER_ANIMAL	قوي ضد الحيوانات (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_CZ	قوي ضد وحوش زودياك (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_DESERT	قوي ضد وحوش الصحراء (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	قوي ضد الشيطان (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	قوي ضد نصف بشر (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_INSECT	قوي ضد الحشرات (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	قوي ضد الطائفة السرية (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	قوي ضد الوحوش (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_ORC	قوي ضد الغيلان (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_STONE	قوي ضد أحجار الماتين (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	قوي ضد الزومبي (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% قوي ضد أحجار الماتين	SA
TOOLTIP_ATT_GRADE	قيمة الهجوم +%d	SA
TOOLTIP_ATT_SPEED	سرعة الهجوم +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	خفض سرعة الهجوم	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	الوقت المتبقي: %d
TOOLTIP_AUTO_PICKUP	لديك فرصة %d%% لألتقاط البنود من حولك لمدة 30 ثانية	SA
TOOLTIP_AUTO_POTION_HP	إكسير الشمس
TOOLTIP_AUTO_POTION_REST	الكمية المتبقية: %.2f%%
TOOLTIP_AUTO_POTION_SP	إكسير القمر
TOOLTIP_AUTO_POTION_USING	مُفعّل
TOOLTIP_AUTO_SYSTEM_PRIMIUM	صيد تلقائي	SNA
TOOLTIP_BATTLE_POTION	جرعة قتال منطقة المعركة	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	تحمّل لا ينتهي	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	ارتقعت سرعة التحرك	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	انخفضت سرعة التحرك	SNA
TOOLTIP_BOW_DISTANCE	مدى الرماية +%dm	SA
TOOLTIP_BUYPRICE	السعر: %s
TOOLTIP_CAST_SPEED	سرعة السحر: +%d%%	SA
TOOLTIP_CON	قوة الحياة +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	علاوة الزي %d%%	SA
TOOLTIP_CURSE_OF_ELEMENTAL	لعنة العناصر (%dمكدسة) ستنخفض نقاط حياتك باستمرار. يمكن تكديسها حتى 10 مرات.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	يستوعب الضرر بنسبة %d%% من نقاط الحياة	SA
TOOLTIP_DAMAGE_SP_RECOVERY	يستوعب الضرر بنسبة %d%% من نقاط الأسلوب	SA
TOOLTIP_DEF_GRADE	دفاع +%d	SA
TOOLTIP_DEX	المناورة +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	عند النزول عن ظهر الدابة ستزداد سرعة التحرك بمقدار %d%% لمدة 10 ثواني	SA
TOOLTIP_DRAGON_SOUL_DECK1	سماء	SNA
TOOLTIP_DRAGON_SOUL_DECK2	أرض	SNA
TOOLTIP_DS_SET	تأثير طقم حجر التنين	SNA
TOOLTIP_DURATION	المدة
TOOLTIP_EAR	حلق
TOOLTIP_ENCHANT_PER_DARK	قوة الظلام (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENCHANT_PER_EARTH	قوة الأرض (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENCHANT_PER_ELECT	قوة البرق (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENCHANT_PER_FIRE	قوة النار (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENCHANT_PER_ICE	قوة الجليد (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENCHANT_PER_WIND	قوة الرياح (+%d%% القيمة الإجمالية)	SA
TOOLTIP_ENERGY	طاقة %d	SA
TOOLTIP_ETC	إلخ.
TOOLTIP_EXP_BONUS_EVENT	خبرة EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. إضافة علاوة +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. إضافة علاوة +%d%%	SA
TOOLTIP_FISHINGROD_EXP	نقاط: %d / %d
TOOLTIP_FISHINGROD_LEVEL	مستوى: %d
TOOLTIP_FISHINGROD_UPGRADE1	امنحه للصياد
TOOLTIP_FISHINGROD_UPGRADE2	لكي تحصل على
TOOLTIP_FISHINGROD_UPGRADE3	صنارة صيد أفضل بكثير.
TOOLTIP_FISH_LEN	الطول: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	بذور زهرة
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. إضافة علاوة +%d%%	SA
TOOLTIP_GLOVE	قفازات
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	يتم زيادة السمات الأساسية لقفازاتك بمقدار +%d%%.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	المشتريات المتبقية: %d
TOOLTIP_GUILD_SKILL_ACCEL	تسريع +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	بركة التنين الأسطوري +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	دم التنين الأسطوري +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	غضب التنين الأسطوري +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	مساعدة السحر +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	دروع مقدسة +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP خبرة | +5% إسقاط البنود | +10% قوة ضد الوحوش	SNA
TOOLTIP_HELMET	خوذة
TOOLTIP_HIT_AREA_ELEC_ATTACK	هاجم الوحوش القريبة بالبرق الذي يسبب ضررًا مساويًا للهجوم العادي.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	خلال المعركة ستحصل على تأثير إكسير الشمس	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	خلال المعركة ستحصل على تأثير إكسير القمر	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	أحصل على قوة الظلام لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	أحصل على قوة الأرض لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	أحصل على قوة البرق لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	أحصل على قوة النار لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	أحصل على قوة الثلج لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	أحصل على قوة الرياح لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	أحصل على مقاومة الظلام لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	أحصل على مقاومة الأرض لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	أحصل على مقاومة البرق لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	أحصل على مقاومة النار لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	أحصل على مقاومة الثلج لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	أحصل على مقاومة الرياح لمدة %d ثانية في المعركة	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	زيادة إرادة سونغ ماهي (حيوية) بمقدار 15 لمدة %d ثانية	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	زيادة إرادة سونغ ماهي (ذكاء) بمقدار 15 لمدة %d ثانية	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	زيادة إرادة سونغ ماهي (مقاومة) بمقدار 15 لمدة %d ثانية	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	زيادة إرادة سونغ ماهي (قوة) بمقدار 15 لمدة %d ثانية	SA
TOOLTIP_HIT_PCT	الدقة +%d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	الهجوم على حجر الماتين يمنحك +%d%% ضرر لمدة 5 ثواني (قوي ضد حجر الماتين)	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	الهجوم على حجر الماتين يمنحك +%d دفاع لمدة 5 ثواني	SA
TOOLTIP_HP_REGEN	تجديد نقاط الحياة +%d%%	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	المستوى الحالي: %d
TOOLTIP_INT	ذكاء +%d	SA
TOOLTIP_ITEM_ATT_GRADE	قيمة الهجوم %d
TOOLTIP_ITEM_ATT_POWER	قيمة الهجوم %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	قيمة الهجوم %d
TOOLTIP_ITEM_ATT_POWER_REFINE	قيمة الهجوم %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	سرعة الهجوم %s
TOOLTIP_ITEM_DEF_GRADE	دفاع %d
TOOLTIP_ITEM_FAST	سريع
TOOLTIP_ITEM_LIMIT_CON	الحد الأقصى من قوة الحياة: %d
TOOLTIP_ITEM_LIMIT_DEX	الحد الأقصى للمناورة: %d
TOOLTIP_ITEM_LIMIT_INT	الحد الأقصى للذكاء: %d
TOOLTIP_ITEM_LIMIT_LEVEL	ابتداء من المستوى: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	الحد الأدنى لمستوى البطل: %d
TOOLTIP_ITEM_LIMIT_STR	الحد الأقصى للقوة: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	قيمة الهجوم السحري %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	قيمة الهجوم السحري %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	الدفاع السحري %d
TOOLTIP_ITEM_NORMAL	طبيعي
TOOLTIP_ITEM_SLOW	بطيء
TOOLTIP_ITEM_VERY_FAST	سريع جداً
TOOLTIP_ITEM_VERY_SLOW	بطيء جداً
TOOLTIP_ITEM_WEARABLE_JOB	[قابل للتجهيز]
TOOLTIP_KILL_BOSS_ITEM_BONUS	عند هزيمة أحد الزعماء تزداد فرصة الإسقاط الخاصة بك بقيمة %d%%	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	رقم الحظ: %d
TOOLTIP_MAGIC_ATTBONUS_PER	هجوم سحري +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	قيمة الهجوم السحري +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	دفاع سحري +%d	SA
TOOLTIP_MALL_ATTBONUS	قيمة الهجوم +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	قيمة الهجوم	SNA
TOOLTIP_MALL_AUTOLOOT	سيتم تلقائياً تسجيل اليانغ.	SNA
TOOLTIP_MALL_DEFBONUS	الدفاع +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	دفاع	SNA
TOOLTIP_MALL_EXPBONUS	نقاط الخبرة +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	نقاط الخبرة لمقهى الإنترنت الإضافية +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50 % خبرة إضافية	SNA
TOOLTIP_MALL_FISH_MIND	ارتفاع نجاح فرص صيد السمك.	SNA
TOOLTIP_MALL_GOLDBONUS	إرتفعت فرص إسقاط اليانغ بمقدار %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	فرص مضاعفة في إسقاط اليانغ	SNA
TOOLTIP_MALL_ITEMBONUS	إرتفعت فرص إسقاط الأشياء بمقدار %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	مقهى إنترنت فرص غنم بنود زائد %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	إرتفعت فرص إسقاط الأشياء بنسبة 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	زيادة نقاط الحب بسرعة أكبر.	SNA
TOOLTIP_MALL_SAFEBOX	توفير مساحة أكبر للتخزين.	SNA
TOOLTIP_MAX_HP	نقاط الحياة القصوى +%d	SA
TOOLTIP_MAX_HP_PCT	نقاط الحياة القصوى +%d%%	SA
TOOLTIP_MAX_SP	نقاط الأسلوب القصوى +%d	SA
TOOLTIP_MAX_SP_PCT	نقاط الأسلوب القصوى +%d%%	SA
TOOLTIP_MAX_STAMINA	مدة التحمل القصوى +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	هجوم سحري/قتال عن قرب +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d، %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	خطأ GPS(%d, %d)
TOOLTIP_MOB_HIT_MOB_AGGRESSIVE	عند الهجوم هناك فرصة %d%% لمهاجمتك من قبل جميع الوحوش المحيطة (عباءة الشجاعة)	SA
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	إذا كان لديك أكثر من 90%% نقاط حياة، سيتم خفض الضرر ضدك بقيمة %d%%.	SA
TOOLTIP_MOUNT_MELEE_MAGIC_ATTBONUS_PER	عند ركوب الدابة يزداد الضرر الخاص بك بمقدار +%d%% لمدة 10 ثواني	SA
TOOLTIP_MOUNT_NO_KNOCKBACK	فرصة %d%% لتجنب السقوط لمدة 20 ثانية، 2 دقيقة استراحة إجبارية.	SA
TOOLTIP_MOUNT_UPGRADE_SKILLBOOK_USE	هل ترغب في تعلم مهارة الركوب %s؟
TOOLTIP_MOUNT_UPGRADE_SKILL_LEVEL_UP	هل تريد تحسين مهارة حصانك؟ \n ستحتاج إلى %d غايا و %d يانغ
TOOLTIP_MOV_SPEED	سرعة التحرك %d%%	SA
TOOLTIP_NECK	قلادة
TOOLTIP_NEED_ALL_SP	نقاط الأسلوب المطلوبة: الحد الأقصى
TOOLTIP_NEED_GSP	شبح التنين المطلوب: %d
TOOLTIP_NEED_HP	نقاط الحياة المطلوبة: %d
TOOLTIP_NEED_HP_PER_SEC	نقاط الحياة / في الثانية: %d
TOOLTIP_NEED_SKILL_POINT	نقاط المهارة المطلوبة:
TOOLTIP_NEED_SP	نقاط الأسلوب المطلوبة: %d
TOOLTIP_NEED_SP_PER_SEC	نقاط الأسلوب / الثانية: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	المستوى التالي: %d (الحد الأقصى %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	المستوى التالي: %d (الحد الأقصى %d-%d)
TOOLTIP_NORMAL_DAMAGE_GUARD	صد ضرر الهجوم بفرصة %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	معدل الضرر %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	ضرر الهجوم ضد الزعيم +%d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	معدل مقاومة الأضرار %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	ضرر الهجوم من الزعماء -%d%%	SA
TOOLTIP_NO_DEATH_AND_HP_RECOVERY30	لديك فرصة %d%% لتفادي الموت واستعادة 30%% من نقاط الحياة الخاصة بك	SA
TOOLTIP_NO_FALLEN	اكتسب مقاومة للسقوط لمدة 15 ثانية في المعركة بفرصة%d%%.	SA
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT	علاوات العناصر: %s
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_DARK	ظلام
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_EARTH	أرض
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_ELECT	برق
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_FIRE	نار
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_ICE	جليد
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_NONE	لا شيء
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_WIND	رياح
TOOLTIP_NPC_LOCATION_HELPER_LEVEL	رتبة الوحش: %d
TOOLTIP_NPC_LOCATION_HELPER_MOB_GRADE	رتبة الوحش: %s
TOOLTIP_PARTY_INFO_GRADE_UP1	أعضاء المجموعة أكثر من %d
TOOLTIP_PARTY_INFO_GRADE_UP2	مستوى الهجوم +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	مستوى الدفاع +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	استعادة نقاط الحياة/نقاط الأسلوب لجميع أعضاء المجموعة مرة كل 60 دقيقة.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	استعادة نقاط الحياة/نقاط الأسلوب لجميع أعضاء المجموعة مرة كل 30 دقيقة.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	عليك انتظار 3 دقائق بعد موت أحد أعضاء المجموعة.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	تستطيع في أي وقت استدعاء أعضاء المجموعة على نفس الخادم.
TOOLTIP_PARTY_INFO_SET_ATTACKER	مستوى الهجوم +(أعضاء المجموعة\2) يمكن اختيار المهاجمين %d.
TOOLTIP_PARTY_INFO_SET_TANKER	مرحلة الدفاع+(عدد أعضاء المجموعة) يمكن اختيار 1 مقاتل عن قرب.
TOOLTIP_PARTY_SKILL_LEVEL	المستوى الحالي: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[تحسين هجوم/دفاع]
TOOLTIP_PARTY_TITLE_HEAL	[استعادة]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	أكثر من %d من أعضاء المجموعة أخذوا نقاط خبرة إضافية %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[نقاط خبرة إضافية]
TOOLTIP_PARTY_TITLE_RECALL	[استدعاء]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[تحديد المهاجمين]
TOOLTIP_PARTY_TITLE_SET_TANKER	[تعيين محارب للقتال عن قرب]
TOOLTIP_PASSIVE_JOB_DECK	علاوة الأثر القديم	SNA
TOOLTIP_PEPSI_EVENT	5% علاوة خبرة EXP و 5% فرصة أعلى لسلب الأشياء.	SNA
TOOLTIP_PETBAG_PET_MAX_LIFE	مدة صلاحية الرّفاق: %s ساعات	SA
TOOLTIP_PETBAG_PET_TYPE	نوع الرفيق: %s	SA
TOOLTIP_PICK_EXP	نقاط: %d / %d
TOOLTIP_PICK_LEVEL	المستوى: %d
TOOLTIP_PICK_UPGRADE1	قدّمها للحطاب
TOOLTIP_PICK_UPGRADE2	لكي تحصل
TOOLTIP_PICK_UPGRADE3	على منكاش أفضل منه.
TOOLTIP_POTION_CURE	إعادة التأثيرات السلبية.
TOOLTIP_POTION_MIN	دقيقة
TOOLTIP_POTION_OF_ELEMENTAL	جرعة الوقاية من العناصر +5% هجوم سحري/جسدي | +10% مقاومة العناصر	SNA
TOOLTIP_POTION_PLUS_ATTACK_SPEED	سرعة الهجوم +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	علاوة هجوم ضد الوحش : +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	هجوم: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	هجوم: +%d%%
